iter	Passed	Remaining
0	175	52523
1	182	27165
2	188	18708
3	195	14472
4	201	11917
5	208	10230
6	215	9011
7	222	8106
8	228	7397
9	235	6835
10	242	6369
11	249	5982
12	255	5649
13	264	5395
14	271	5149
15	277	4925
16	284	4728
17	290	4556
18	297	4404
19	304	4259
20	310	4128
21	317	4014
22	324	3904
23	331	3810
24	338	3719
25	344	3632
26	351	3550
27	358	3480
28	364	3408
29	371	3341
30	378	3281
31	384	3221
32	391	3169
33	398	3118
34	405	3069
35	412	3021
36	418	2977
37	425	2935
38	432	2894
39	439	2854
40	445	2815
41	452	2778
42	459	2743
43	465	2709
44	472	2675
45	478	2644
46	485	2613
47	492	2583
48	498	2555
49	505	2527
50	514	2511
51	521	2484
52	527	2460
53	535	2437
54	542	2414
55	549	2393
56	555	2370
57	562	2346
58	632	2583
59	639	2557
60	646	2532
61	653	2507
62	659	2482
63	666	2457
64	672	2432
65	679	2409
66	685	2385
67	692	2362
68	699	2342
69	706	2320
70	713	2302
71	720	2282
72	727	2262
73	734	2242
74	740	2222
75	747	2203
76	754	2184
77	761	2166
78	767	2147
79	774	2129
80	781	2111
81	787	2094
82	794	2076
83	800	2059
84	807	2043
85	814	2026
86	821	2010
87	827	1994
88	834	1978
89	840	1961
90	847	1947
91	854	1932
92	861	1916
93	867	1901
94	873	1885
95	881	1872
96	887	1857
97	894	1843
98	901	1829
99	907	1815
100	914	1802
101	921	1788
102	928	1776
103	934	1762
104	941	1749
105	948	1736
106	955	1723
107	961	1710
108	968	1696
109	975	1685
110	982	1672
111	989	1660
112	995	1647
113	1002	1635
114	1009	1623
115	1015	1611
116	1022	1599
117	1029	1587
118	1037	1577
119	1044	1566
120	1050	1554
121	1057	1542
122	1064	1531
123	1070	1519
124	1077	1508
125	1084	1497
126	1090	1486
127	1097	1475
128	1104	1463
129	1111	1452
130	1117	1441
131	1123	1430
132	1130	1419
133	1137	1408
134	1143	1397
135	1150	1387
136	1157	1377
137	1164	1366
138	1171	1356
139	1178	1346
140	1184	1335
141	1190	1325
142	1197	1314
143	1204	1304
144	1210	1294
145	1216	1283
146	1223	1272
147	1229	1262
148	1236	1253
149	1243	1243
150	1249	1232
151	1256	1223
152	1262	1213
153	1269	1203
154	1276	1193
155	1283	1184
156	1289	1174
157	1296	1165
158	1302	1155
159	1309	1145
160	1315	1136
161	1322	1126
162	1329	1117
163	1335	1107
164	1342	1098
165	1349	1089
166	1355	1079
167	1362	1070
168	1368	1061
169	1375	1051
170	1381	1042
171	1388	1033
172	1394	1024
173	1401	1014
174	1408	1005
175	1414	996
176	1421	987
177	1427	978
178	1435	970
179	1441	961
180	1448	952
181	1455	943
182	1462	934
183	1468	925
184	1475	916
185	1481	908
186	1488	899
187	1495	890
188	1501	882
189	1508	873
190	1515	864
191	1522	856
192	1528	847
193	1585	866
194	1591	857
195	1598	848
196	1605	839
197	1611	830
198	1617	820
199	1624	812
200	1631	803
201	1637	794
202	1644	785
203	1651	777
204	1657	768
205	1664	759
206	1670	750
207	1677	741
208	1684	733
209	1690	724
210	1697	715
211	1703	707
212	1710	698
213	1717	690
214	1723	681
215	1730	673
216	1737	664
217	1743	655
218	1749	647
219	1756	638
220	1763	630
221	1769	621
222	1775	613
223	1783	605
224	1789	596
225	1796	588
226	1802	579
227	1809	571
228	1815	562
229	1822	554
230	1828	546
231	1835	537
232	1841	529
233	1848	521
234	1854	513
235	1861	504
236	1867	496
237	1874	488
238	1881	480
239	1887	471
240	1902	465
241	1916	459
242	1923	451
243	1929	442
244	1936	434
245	1943	426
246	1950	418
247	1957	410
248	1964	402
249	1976	395
250	1980	386
251	1984	378
252	1993	370
253	2001	362
254	2140	377
255	2144	368
256	2149	359
257	2153	350
258	2157	341
259	2161	332
260	2166	323
261	2170	314
262	2174	305
263	2177	296
264	2180	288
265	2184	279
266	2187	270
267	2190	261
268	2194	252
269	2197	244
270	2200	235
271	2204	226
272	2207	218
273	2212	209
274	2215	201
275	2218	192
276	2221	184
277	2224	176
278	2227	167
279	2230	159
280	2233	150
281	2236	142
282	2238	134
283	2241	126
284	2244	118
285	2247	110
286	2250	101
287	2253	93
288	2257	85
289	2260	77
290	2262	69
291	2265	62
292	2268	54
293	2271	46
294	2274	38
295	2277	30
296	2280	23
297	2283	15
298	2286	7
299	2289	0
